property_name,source_url,contact_route,contact_detail,contact_source_url,est_ADR,review_signal,photo_gap_notes,copy_gap_notes,score_0_100,contactable_yes_no,status
Iconic 1BR Apartment in Koukaki,https://upstreet.io/apartment/iconic-1br-apartment-in-koukaki/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€110/day,Upstreet apartment-list page verified Koukaki listing; individual page not deeply reviewed,Cover/value hierarchy likely improvable,Generic adjective title; needs Acropolis Museum/Koukaki angle,70,yes,qualified
Monastiraki Living: 2BR Flat,https://upstreet.io/apartment/monastiraki-living-2br-flat/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€100/day,Upstreet apartment-list page verified Monastiraki listing; individual page not deeply reviewed,Could better package centrality and sleeping setup,Okay title but not benefit-rich; copy likely generic,70,yes,qualified
Adorable 2BR Apartment in Neos Kosmos,https://upstreet.io/apartment/adorable-2br-apartment-in-neos-kosmos/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€95/day,Upstreet apartment-list page verified Neos Kosmos listing; individual page not deeply reviewed,Lower ADR fit; presentation gap may exist,Adorable is subjective and weak for search intent,66,yes,scored_not_qualified
Koukaki 2BR Apartment,https://upstreet.io/apartment/koukaki-2br-apartment/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€105/day,Upstreet apartment-list page verified Koukaki listing; individual page not deeply reviewed,Plain inventory presentation; needs lifestyle/cover focus,Very generic title,72,yes,qualified
Elysian 2BR Apartment in Plaka 1,https://upstreet.io/apartment/elysian-2br-apartment-in-plaka-1/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€120/day,Upstreet apartment-list page verified Plaka listing; individual page not deeply reviewed,Numbered suffix feels internal; photo order may need story,Title has branding word but weak specifics,70,yes,qualified
Sophisticated 2BR Apartment in Heart of Plaka,https://upstreet.io/apartment/sophisticated-2br-apartment-in-heart-of-plaka/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€125/day,Upstreet apartment-list page verified Plaka listing; individual page not deeply reviewed,Likely good asset but can sharpen cover to Plaka advantage,Long adjective-led title; should be clearer and shorter,70,yes,qualified
Sublime 1BR Apartment in Koukaki,https://upstreet.io/apartment/sublime-1br-apartment-in-koukaki/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€105/day,Upstreet apartment-list page verified Koukaki listing; individual page not deeply reviewed,Generic presentation gap likely,Weak adjective-led title,70,yes,qualified
Dazzling 1BR Apartment in Koukaki,https://upstreet.io/apartment/dazzling-1br-apartment-in-koukaki/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€105/day,Upstreet apartment-list page verified Koukaki listing; individual page not deeply reviewed,Presentation can better show walkability/value,Adjective-led title sounds inflated rather than specific,70,yes,qualified
Acropolis Heart 2BD Apartment in Plaka,https://upstreet.io/apartment/acropolis-heart-2bd-apartment-in-plaka/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€125/day,Upstreet apartment-list page verified Plaka listing; individual page not deeply reviewed,Strong raw asset likely but title/photo order can be improved,Title decent; copy likely still boilerplate,71,yes,qualified
Central Cosy 2BD Apartment in Plaka,https://upstreet.io/apartment/central-cosy-2bd-apartment-in-plaka/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€115/day,Upstreet apartment-list page verified Plaka listing; individual page not deeply reviewed,Cozy/central claims need stronger hero proof,Generic title; no guest persona,70,yes,qualified
The Athenians - The Gold,https://theathenians.gr/portfolio-item/the-gold/,direct property email + phone,info@theathenians.gr; +30 218 2189671,https://theathenians.gr/contact/,~€120/day,Own site apartment page and contact page verified; review count not visible,Portfolio-style site; property page likely more design-showcase than booking-conversion order,Color-name title has brand charm but weak search/guest details,68,yes,scored_not_qualified
The Athenians - The Blue,https://theathenians.gr/portfolio-item/the-blue/,direct property email + phone,info@theathenians.gr; +30 218 2189671,https://theathenians.gr/contact/,~€120/day,Own site apartment page and contact page verified; review count not visible,Portfolio-style site; likely not optimized for OTA conversion,Color-name title is thin; needs sleep/location/value hook,68,yes,scored_not_qualified
The Athenians - The Orange,https://theathenians.gr/portfolio-item/the-orange-apartment/,direct property email + phone,info@theathenians.gr; +30 218 2189671,https://theathenians.gr/contact/,~€120/day,Own site apartment page and contact page verified; review count not visible,Portfolio-style site; cover/story order can be clearer,Color-name title gives no guest outcome,68,yes,scored_not_qualified
The Athenians - The Green,https://theathenians.gr/portfolio-item/the-green-apartment/,direct property email + phone,info@theathenians.gr; +30 218 2189671,https://theathenians.gr/contact/,~€120/day,Own site apartment page and contact page verified; review count not visible,Presentation likely better than many but not OTA-focused,Color-name title is too abstract for cold listing upgrade pitch,67,yes,scored_not_qualified
The Athenians - The Yellow,https://theathenians.gr/portfolio-item/the-yellow-apartment/,direct property email + phone,info@theathenians.gr; +30 218 2189671,https://theathenians.gr/contact/,~€120/day,Own site apartment page and contact page verified; review count not visible,Presentation likely decent; conversion copy gap more than photo gap,Color-name title is thin and not guest/search oriented,67,yes,scored_not_qualified
Soho | Apartment with Balcony,https://www.olalahomes.com/en/properties/67b8471a12226c0011437c00?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€40/day,4.3 from 62 reviews on Olala Athens search page,Low ADR; photo/order gap likely but economics weak for $300,Generic name and generic one-sentence description,57,yes,scored_not_qualified
Soho | Standard 1-Bedroom with Balcony,https://www.olalahomes.com/en/properties/67b846e5e09aa100124883eb?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€40/day,4.25 from 53 reviews on Olala Athens search page,Low ADR; presentation may be weak but paid upgrade fit is poor,Generic standard name and thin description,55,yes,scored_not_qualified
Kolonaki Boutique | Family Apartment,https://www.olalahomes.com/en/properties/67b74d2c7348a0001203a19c?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€78/day,4.2 from 116 reviews on Olala Athens search page,Good review volume but ADR under target and rating below 4.6,Plain name and generic family-apartment description,62,yes,scored_not_qualified
Kallithea | 1-Bedroom Apartment,https://www.olalahomes.com/en/properties/67af2ece4f50b20012326fbc?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€39/day,4.15 from 63 reviews on Olala Athens search page,Out-of-neighborhood and low ADR,Generic description; weak economics,45,yes,rejected_out_of_scope
Kallithea | Studio,https://www.olalahomes.com/en/properties/67af2b4ab09d3d0011de79f7?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€37/day,4.05 from 55 reviews on Olala Athens search page,Out-of-neighborhood and low ADR,Very thin copy,43,yes,rejected_out_of_scope
Kallithea | Studio Apartment,https://www.olalahomes.com/en/properties/67af28a253174c00125d116e?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€38/day,4.35 from 107 reviews on Olala Athens search page,Out-of-neighborhood and low ADR,Thin/truncated generic description,47,yes,rejected_out_of_scope
Soho | Duplex with Garden,https://www.olalahomes.com/en/properties/67ab38354ece080011b582e7?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€60/day,4.05 from 29 reviews on Olala Athens search page,Private garden gives raw asset but rating/ADR weak,Generic title/description; low conversion copy,54,yes,scored_not_qualified
Soho | Standard Apartment with Balcony,https://www.olalahomes.com/en/properties/67ab38346ecb5e0019b5648f?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€40/day,4.45 from 45 reviews on Olala Athens search page,Low ADR and rating below 4.6,Generic title; weak description,55,yes,scored_not_qualified
Soho | 1-Bedroom with Balcony,https://www.olalahomes.com/en/properties/67ab3834146a650011553914?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€40/day,4.4 from 40 reviews on Olala Athens search page,Low ADR,Generic title and thin description,54,yes,scored_not_qualified
Kolonaki Boutique | 2-Bedroom Apartment,https://www.olalahomes.com/en/properties/67ab382cd0c9fb001126f9f9?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€75/day,4.45 from 52 reviews on Olala Athens search page,Good review volume but ADR/rating below target,Generic title and description,60,yes,scored_not_qualified
Kolonaki Boutique | 3-Bedroom Apartment,https://www.olalahomes.com/en/properties/67ab382bbccc1100118a22ea?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€90/day,4.2 from 48 reviews on Olala Athens search page,Big unit but ADR slightly under target and rating low,Generic title; truncated Syntagma copy could be stronger,63,yes,scored_not_qualified
Kolonaki | Suites,https://www.olalahomes.com/en/properties/67ab38296ecb5e0019b56309?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€45/day,4.15 from 39 reviews on Olala Athens search page,Low ADR,Generic suite description,50,yes,scored_not_qualified
Athens ONE | 2-Bedroom Apartment,https://www.olalahomes.com/en/properties/67ab381fbccc1100118a222a?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€45/day,4.15 from 55 reviews on Olala Athens search page,Low ADR and weaker location for this sprint,Plain description near museum; low upgrade fit,51,yes,scored_not_qualified
Kallithea | Apartment with Garden,https://www.olalahomes.com/en/properties/67ab38294ece080011b5804b?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€150/day,4.7 from 29 reviews on Olala Athens search page,Strong ADR/reviews but outside target neighborhoods,Copy is generic but not Athens-center target,68,yes,rejected_out_of_scope
Kallithea | Penthouse Apartment,https://www.olalahomes.com/en/properties/67ab3828e26f8a001058bdbd?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€50/day,4.7 from 31 reviews on Olala Athens search page,Out-of-neighborhood and low ADR,Description is better than many but economics weak,54,yes,rejected_out_of_scope
Kallithea | 2-Bedroom Apartment with Balcony,https://www.olalahomes.com/en/properties/67ab38274ece080011b57f81?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€57/day,4.55 from 38 reviews on Olala Athens search page,Out-of-neighborhood and low ADR,Generic title; low upgrade economics,47,yes,rejected_out_of_scope
Kallithea | 2-Bedroom Apartment,https://www.olalahomes.com/en/properties/67ab3823437af100123f70e1?city=Athens&country=Greece&minOccupancy=1&adults=1,agency phone + instagram,+34 911234140; https://www.instagram.com/olalahomes/?hl=en,https://www.olalahomes.com/en/properties?city=Athens&country=Greece&minOccupancy=1,€54/day,4.1 from 26 reviews on Olala Athens search page,Out-of-neighborhood and low ADR,Truncated generic copy,43,yes,rejected_out_of_scope
